SEASON_ID,NAME,Player_ID,Game_ID,GAME_DATE,TEAM,ADV,HOME,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TTFL,CONF
22019,Steven Adams,203500,21901317,2020-08-14,OKC,LAC,False,OKC @ LAC,L,6,0,4,0,0,0,0,2,0,0,0,0,2,2,1,0,1,West
22019,Steven Adams,203500,21901306,2020-08-12,OKC,MIA,True,OKC vs. MIA,W,20,8,8,0,1,0,4,7,0,0,0,2,2,6,0,0,16,West
22019,Steven Adams,203500,21901265,2020-08-05,OKC,LAL,False,OKC @ LAL,W,28,18,7,2,0,0,7,10,0,0,4,7,1,6,1,2,31,West
22019,Steven Adams,203500,21901251,2020-08-03,OKC,DEN,True,OKC vs. DEN,L,34,9,10,1,0,0,3,6,0,0,3,4,3,7,2,6,20,West
22019,Steven Adams,203500,21901240,2020-08-01,OKC,UTA,True,OKC vs. UTA,W,28,16,11,2,0,2,7,10,0,0,2,5,3,8,4,3,30,West
22019,Steven Adams,203500,21900949,2020-03-08,OKC,BOS,False,OKC @ BOS,W,26,6,6,1,3,1,1,2,0,0,4,8,0,6,1,1,16,West
22019,Steven Adams,203500,21900932,2020-03-06,OKC,NYK,False,OKC @ NYK,W,24,12,11,1,0,2,5,8,0,0,2,2,6,5,0,0,30,West
22019,Steven Adams,203500,21900918,2020-03-04,OKC,DET,False,OKC @ DET,W,32,8,7,3,3,1,4,5,0,0,0,3,0,7,5,1,17,West
22019,Steven Adams,203500,21900912,2020-03-03,OKC,LAC,True,OKC vs. LAC,L,27,4,10,2,0,0,2,6,0,0,0,2,5,5,1,5,11,West
22019,Steven Adams,203500,21900882,2020-02-28,OKC,MIL,False,OKC @ MIL,L,17,8,7,3,1,0,4,5,0,0,0,0,1,6,1,1,21,West
22019,Steven Adams,203500,21900875,2020-02-27,OKC,SAC,True,OKC vs. SAC,W,28,15,7,1,0,0,7,9,0,0,1,2,6,1,1,2,27,West
22019,Steven Adams,203500,21900859,2020-02-25,OKC,CHI,False,OKC @ CHI,W,28,16,9,2,3,3,6,8,0,0,4,6,5,4,1,1,38,West
22019,Steven Adams,203500,21900846,2020-02-23,OKC,SAS,True,OKC vs. SAS,W,27,21,14,0,1,0,8,12,0,0,5,6,3,11,1,0,43,West
22019,Steven Adams,203500,21900831,2020-02-21,OKC,DEN,True,OKC vs. DEN,W,32,19,17,2,4,2,7,14,0,0,5,6,7,10,0,0,48,West
